21.03.2019, 20:35:58, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:36:03, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:36:04, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:36:05, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:36:11, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:36:12, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:36:14, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:37:37, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:41:25, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:41:27, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
21.03.2019, 20:42:11, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php
